bd,id,Tipo,Subtipo,Fecha,Detonante,DetonanDes,Fuente,Subregion,Municipio,Pueblo,Sitio,Incertidumb,Norte,Este,Fallecidos,Economicas,Notas,LinkFoto
ant,8312.000,Debris Flow,,2021-06-10,Rainfall,,Caracol Radio,Valle de Aburrá,Bello,Comuna 10 Acevedo,"La Paralela, a la altura de Acevedo",Mid,6.299,-75.559,0.000,"0","Un fuerte aguacero azotó esta tarde a Medellín , dejando inundaciones en varias vías, entre ellas la avenida Regional a la altura de la plaza La Minorista, la avenida Ferrocarril con calle 44 (San Juan) y La Paralela, a la altura de Acevedo.",
ant,7726.000,Landslide,,2006-11-10,Rainfall,Lluvias - Deslizamiento que sepultó una vivienda,El Colombiano,Valle de Aburrá,Bello,Santa Rita,Sector la Cantera,Mid,6.314,-75.546,2.000,"0",(di6author : julieta g)(di6date : nov 21/06),
ant,8299.000,Debris Flow,,2021-06-01,Rainfall,,Teleantioquia,Valle de Aburrá,Bello,Barrio La Gabriela,Sector Calle Vieja,Low,6.324,-75.548,0.000,"0",Este miércoles se registraron fuertes lluvias en el municipio de Bello. Las principales vías del sector conocido como la Gabriela se vieron inundadas y durante horas quedaron inhabilitadas.,
ant,8466.000,Debris Flow,,2021-11-21,Rainfall,,Diario Oriente,Valle de Aburrá,Bello,Autopista  Medellín-Bogota,Autopista saliendo de Medellín a la altura de Argos,Low,6.318,-75.547,0.000,"0",Debido a las fuertes lluvias nuevamente se presentan inundaciones en la autopista saliendo de Medellín a la altura de Argos.,
ant,3945.000,Landslide,,1987-12-10,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Bello,,"Curva de Rodas; Autopista",High,6.318,-75.545,0.000,"0",Se desconoce la causa,
ant,5323.000,Landslide,,1993-11-19,Rainfall,Lluvias - Saturación del suelo con agua,El Colombiano,Valle de Aburrá,Bello,,"Certca a la Curva de Rodas; Carretera Med- Bogotá en el *",High,6.318,-75.545,0.000,"0",Se desprendieron 200 m3 de tierra y taponaron 20 m de vía. este además arrastró un carro y una buseta(di6date : 29/9/02),
ant,7871.000,Landslide,,2010-12-04,Rainfall,Vendaval,El Colombiano,Valle de Aburrá,Bello,La Gabriela,,Low,6.324,-75.544,84.000,"0",Deslizamiento y flujo de escombros por manejo inadecuado de aguas residuales y uso inadecuado del suelo.(di6author : luz jeanette)(di6date : 2011-03-17),
ant,8660.000,Landslide,,2022-10-23,Rainfall,,Guardianes Antioquia,Valle de Aburrá,Bello,Sector entrada Manantial,km 04+100 Medellin - Bogota,Mid,6.322,-75.543,0.000,"0","CALZADA MEDELLÍN - BOGOTÁ municipio de Copacabana sector Entrada Manantiales km 04+100, presenta paso restringido por derrumbe. Transite con precaución.",
ant,4067.000,Debris Flow,,1987-05-04,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Bello,La Gabriela,"También barrios la Gabriela; Gran Avenida",Mid,6.319,-75.552,0.000,"0",Se desconoce la causa este evento se dio en otros barrios fuera de este y en la ficha no dice a que barrios se les atribuyen los distintos efectos...estos otros barrios son: la gabriela y gran avenida(di6author : rsb)(di6date : 23/04/01),
ant,6357.000,Debris Flow,,1998-02-07,Unknown,Desconocida,Bomberos Bello,Valle de Aburrá,Bello,La Gabriela,"Cra 45 con Clle 32B - 54; en la Carretera Vieja a Machado",Mid,6.319,-75.552,0.000,"15",La acción duró aproximadamente 3 horas apoyó la policía nacional(di6date : 29/7/02),
